Latitude,Longitude,Total Population,Children (%),Adults (%),Elderly (%),Male (%),Female (%),Diabetes Cases,Blood Pressure Cases,Respiratory Cases,Houses Damaged,Shops Damaged,Hotels Damaged,Schools Damaged,Economic Loss (INR)
19.107371387374794,81.20558974134345,4380,23.28099713317409,53.56935040003117,23.14965246679475,51.46572128457471,48.53427871542529,201,598,177,20,22,7,7,882142
21.158709956567073,83.30404633877758,2711,27.115135132595228,66.19520848949274,6.68965637791203,48.716342520923924,51.283657479076076,67,132,49,20,0,8,2,1169553
21.191885926964694,82.73063208143873,4630,20.679900734110827,50.19604942494008,29.124049840949098,50.58853151688937,49.41146848311063,1,498,193,39,15,6,6,5694914
19.71139043240419,81.67257209181523,1950,17.997824218398318,57.01219006567963,24.989985715922046,48.83820924285907,51.16179075714093,6,3,24,0,29,4,7,4315724
23.511652671454694,84.59239512357983,1684,27.82216584140256,58.42461471059323,13.753219448004216,51.5883484092881,48.4116515907119,124,125,61,2,0,0,8,9889170
21.602816719069384,83.39346607623126,4497,17.75626445849875,69.75100024652286,12.492735294978388,51.424757132743125,48.575242867256875,211,306,136,6,1,5,8,3307814
20.2223584969548,80.4156208877447,2766,21.611024636756508,50.86197607636091,27.526999286882585,51.54024119574084,48.45975880425916,68,75,56,47,26,7,8,1148904
18.761795319857153,83.87673813537533,2010,19.368379030283844,67.73632009698326,12.89530087273289,51.056690559062,48.943309440938,23,85,28,39,20,3,6,8303630
23.124181586847328,84.96644740985957,3641,17.07982304958969,65.06424597441266,17.85593097599765,50.19833637879132,49.80166362120868,164,249,74,19,18,8,0,7922481
20.811104544792144,83.32862797750246,1293,19.54174658863336,68.73046779558186,11.727785615784782,49.24174079978814,50.75825920021186,15,119,5,10,9,9,3,9284481
19.596196741504393,84.20042241304466,3518,16.769467251357604,55.110093482229026,28.12043926641337,49.26293100369121,50.73706899630879,260,422,13,31,11,5,2,6598343
18.62331806443796,84.80811089401597,1047,19.76814314611901,59.02941951383804,21.202437340042948,51.875148952309395,48.124851047690605,36,113,37,45,6,6,4,5502727
22.578911151583235,83.0929147570491,3844,24.88124812123476,52.410782247337636,22.707969631427602,49.895498309581804,50.104501690418196,277,315,1,41,8,5,8,4715624
20.103542122899682,81.2833633288019,555,19.942873341044155,51.87469851279804,28.182428146157804,50.179780875588314,49.820219124411686,3,32,21,29,4,4,4,2431958
19.254407264920825,80.09914528445762,3008,29.410422847113818,63.45321468103667,7.136362471849509,50.30963840646241,49.69036159353759,48,163,96,39,6,6,6,900544
23.066670957907153,81.02265216533083,4765,16.64563719500551,60.42751356778207,22.926849237212423,49.28612841329541,50.71387158670459,285,439,146,34,5,8,3,1472122
19.90294653257204,83.03652787654165,1646,21.906378969939624,54.83068821281083,23.26293281724955,49.041497092480725,50.958502907519275,30,189,10,38,4,7,6,1613256
20.152400154013247,83.59961503722846,3141,28.035374335788898,64.55563826567786,7.408987398533242,48.374347231609505,51.625652768390495,241,225,51,25,28,2,5,9005304
20.576712386945562,81.95401443307176,2650,21.148335544419773,67.81222393129619,11.039440524284032,50.73451311072133,49.26548688927867,70,348,69,40,22,1,6,5676358
23.13085169234017,80.16049558785676,3760,17.694317757692176,66.83936424443668,15.466317997871144,48.677415583753856,51.322584416246144,135,423,74,18,10,1,0,5966896
20.01303343186252,84.77125476068431,3205,24.990184836348025,61.05037149429998,13.959443669351998,48.31514664836222,51.68485335163778,130,151,26,28,11,7,9,8817794
20.31045335029033,83.37391037712273,2398,18.385957074681812,66.57396866038752,15.040074264930666,51.239424869191154,48.760575130808846,58,311,84,26,22,0,4,1687093
19.7106901387828,83.38689289367466,2926,24.591280236428265,55.14636835660174,20.262351406969998,49.15657056128688,50.84342943871312,121,169,79,4,19,6,6,6047302
22.96710967083287,83.19719192505808,1412,17.477437775512225,64.3252339314465,18.197328293041267,49.80623579383885,50.19376420616115,111,157,43,36,8,2,5,9322005
23.888726363393673,80.82960164029008,923,23.598172623855024,58.63704552677564,17.764781849369342,49.59736721609619,50.40263278390381,32,58,15,42,14,9,1,6433468
21.98662867807353,84.28280408006793,515,25.37114489420439,55.74033842464176,18.888516681153845,50.94539663708381,49.05460336291619,34,33,12,46,29,0,7,1562652
19.987284730547007,83.49432927062722,4926,17.527196153918627,55.72484419286734,26.74795965321404,48.926687717636625,51.073312282363375,352,441,209,9,10,1,9,8130999
21.0267412225463,81.87628099175964,3927,17.442714111841187,55.80221435551985,26.755071532638965,51.92460257382376,48.07539742617624,68,2,187,1,7,1,3,1127784
20.794098591668153,81.39689385902305,4317,22.552170478080033,51.81734292828937,25.630486593630593,49.40571580525361,50.59428419474639,252,248,151,8,19,4,6,3745502
19.484853807696627,82.61226718650643,2971,27.50054040911859,52.64538879420751,19.854070796673895,49.38665328410076,50.61334671589924,10,276,133,47,19,7,6,1134672
20.61614939902749,83.95720790099753,2487,19.72324430552936,62.48460966214098,17.792146032329654,50.06228330711604,49.93771669288396,39,189,92,17,19,7,2,4253859
20.4940976469421,84.00093052139779,2833,26.746273600378615,66.255482652273,6.998243747348383,49.03468620146823,50.96531379853177,217,395,132,26,3,5,4,8623426
22.40711839437713,81.18974628704261,4384,27.679327991568623,54.960706004708975,17.359966003722406,51.64850871927194,48.35149128072806,223,486,113,43,24,8,7,4875242
20.669374698860832,80.98656208933853,2552,15.893722988337357,67.69498513446482,16.411291877197826,49.34108456101164,50.65891543898836,2,275,98,15,20,5,7,7440122
19.627032248965396,84.02248218124443,3547,16.11797684614973,59.589145088924546,24.29287806492573,48.091558271652374,51.908441728347626,202,436,24,47,9,4,9,3874821
22.06723482074606,82.96832147539956,2001,28.592300111199556,64.46670271414308,6.940997174657355,50.02354313397427,49.97645686602573,162,67,28,24,15,5,0,1634764
19.73256654001756,80.96217797515838,1877,16.645695678950894,61.743594104714816,21.610710216334297,50.377643168666985,49.622356831333015,152,4,71,30,15,1,6,3405436
18.141384863225205,84.30237894494134,4227,28.165522830580176,68.59442706484572,3.2400501045741095,49.29570723263137,50.70429276736863,396,312,101,15,23,2,9,5838392
22.596801314053316,81.4713850494111,3504,19.581941652060305,63.1047591999787,17.31329914796099,50.323833704184956,49.676166295815044,138,127,100,30,24,7,8,8263779
20.24169445712936,80.72261307010041,2180,28.01149612707396,68.59923113036145,3.3892727425646,50.32094953621308,49.67905046378692,136,48,19,9,24,7,9,1842820
19.26186077178113,82.82711905096107,3491,25.006738683923967,60.83872960759797,14.15453170847806,49.75701248521402,50.24298751478598,23,364,37,25,9,5,1,1817316
21.097957975270408,81.48502709209984,3462,23.488020704954735,61.67979103855171,14.832188256493552,49.760561236764914,50.239438763235086,139,69,98,7,18,6,4,6973065
19.046043916811854,83.14844919573741,4503,21.77067619281442,68.45022744300014,9.779096364185435,49.66206663890847,50.33793336109153,374,227,211,31,11,7,2,8158611
21.162471672433657,83.94623532817825,4350,22.45595606201556,68.68996782553405,8.854076112450386,51.86212619765284,48.13787380234716,209,43,109,28,2,5,6,8035286
23.812577574643406,84.59608242895317,764,28.525976602280657,61.17422437059943,10.299799027119917,51.96304673022729,48.03695326977271,73,62,21,40,29,2,3,4102845
19.838477003320563,82.45835761341012,4452,17.721779395378405,69.38080807390565,12.89741253071594,48.402181789076366,51.597818210923634,105,358,176,49,7,3,1,6458248
21.58311325209329,84.35870089470144,2674,22.0986521889416,52.18021219376985,25.721135617288553,51.804677539612875,48.195322460387125,158,158,108,36,24,8,6,3209968
23.88621334166384,82.62683761868925,981,27.533655160496266,54.21000342424766,18.256341415256074,49.89419768445407,50.10580231554593,77,55,22,31,28,7,5,5871226
18.486533142667305,84.77268498937687,528,28.25102152025491,61.597609175720024,10.151369304025067,51.525661235627524,48.474338764372476,8,66,9,21,12,9,9,2139030
23.499450002130196,80.05131723965,634,20.256092326647416,64.68420565109376,15.059702022258818,51.468238577375594,48.531761422624406,15,93,19,1,25,8,4,667115
18.821459790586644,80.9943981174798,4629,20.621607626055308,63.799370560147594,15.579021813797098,48.9725295317633,51.0274704682367,11,649,11,49,6,3,7,3934534
20.11120240263042,82.10581819534781,713,23.312069643536155,57.045707378697344,19.642222977766494,48.97234290812887,51.02765709187113,6,94,11,9,24,8,2,2572581
21.348699952373885,84.18089825686678,4621,29.49712002028438,68.42671851776618,2.0761614619494395,50.69246476394248,49.30753523605752,201,151,19,14,7,7,1,7650397
22.690165125423817,80.29927489651801,3268,15.415274930707012,51.44285908617387,33.14186598311912,51.511519113552,48.488480886448,240,112,128,27,5,4,7,1148131
18.113353684967095,81.16989126765237,4703,21.900545902864465,65.74583784322138,12.353616253914154,51.98887676502774,48.01112323497226,193,141,233,45,0,8,0,5210901
22.139148769526066,83.14365437544073,3362,16.679941839183076,67.75018798169138,15.569870179125544,49.64187713429864,50.35812286570136,159,279,145,14,13,3,0,2229367
18.552167887282028,83.20094654143533,4500,26.88475363476455,52.1076099993005,21.007636365934957,49.66140513269796,50.33859486730204,303,175,158,18,9,2,7,9825610
19.94837365953652,83.62745719691988,3112,18.654256805564618,56.3064685428795,25.039274651555885,49.217161193172956,50.782838806827044,193,352,49,14,23,3,0,5634623
18.654659741549725,80.3212071396801,4102,20.81912786125663,56.03808878433609,23.142783354407285,50.15453774068879,49.84546225931121,331,49,3,24,17,4,1,5781566
22.085176697750818,82.37591427694355,1662,29.37282325745455,53.33687492158967,17.29030182095579,48.31890283342527,51.68109716657473,158,11,14,38,4,0,6,6423908
23.307174946829942,81.7645041637907,2185,17.217548328597445,54.0308388626234,28.751612808779157,50.63406724263916,49.36593275736084,109,124,68,46,16,3,6,461701
22.285555200504373,84.39896129036256,1615,19.545025190203635,66.51442988496724,13.940544924829126,51.28974056847186,48.71025943152814,2,111,24,4,1,9,2,914379
